Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
trunk_fp16.onnx,12513,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,12515,Einsum,"inputs=[1, 46, 16, 24], [1, 46, 16, 24] -> outputs=[1, 16, 46, 46]",1625088
trunk_fp16.onnx,12522,MatMul,"inputs=[1, 46, 46, 128], [128, 16] -> outputs=[1, 46, 46, 16]",8667136
trunk_fp16.onnx,12530,Softmax,"inputs=[1, 16, 46, 46] -> outputs=[1, 16, 46, 46]",169280
trunk_fp16.onnx,12532,Einsum,"inputs=[1, 16, 46, 46], [1, 46, 16, 24] -> outputs=[1, 46, 16, 24]",1625088
trunk_fp16.onnx,12535,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,12542,MatMul,"inputs=[1, 46, 384], [384, 1536] -> outputs=[1, 46, 1536]",54263808
trunk_fp16.onnx,12545,MatMul,"inputs=[1, 46, 384], [384, 1536] -> outputs=[1, 46, 1536]",54263808
trunk_fp16.onnx,12547,MatMul,"inputs=[1, 46, 1536], [1536, 384] -> outputs=[1, 46, 384]",54263808
trunk_fp16.onnx,12554,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12555,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12560,Einsum,"inputs=[1, 46, 46, 128], [1, 46, 46, 128] -> outputs=[1, 46, 46, 128]",24918016
trunk_fp16.onnx,12561,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12568,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12577,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12578,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12583,Einsum,"inputs=[1, 46, 46, 128], [1, 46, 46, 128] -> outputs=[1, 46, 46, 128]",24918016
trunk_fp16.onnx,12584,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12591,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12600,MatMul,"inputs=[1, 46, 46, 128], [128, 4] -> outputs=[1, 46, 46, 4]",2166784
trunk_fp16.onnx,12605,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12606,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12607,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12617,MatMul,"inputs=[46, 4, 46, 32], [46, 4, 32, 46] -> outputs=[46, 4, 46, 46]",4584914944
trunk_fp16.onnx,12620,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12624,Softmax,"inputs=[46, 4, 46, 46] -> outputs=[46, 4, 46, 46]",1946720
trunk_fp16.onnx,12626,MatMul,"inputs=[46, 4, 46, 46], [46, 4, 46, 32] -> outputs=[46, 4, 46, 32]",4584914944
trunk_fp16.onnx,12630,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12640,MatMul,"inputs=[1, 46, 46, 128], [128, 4] -> outputs=[1, 46, 46, 4]",2166784
trunk_fp16.onnx,12645,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12646,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12647,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12657,MatMul,"inputs=[46, 4, 46, 32], [46, 4, 32, 46] -> outputs=[46, 4, 46, 46]",4584914944
trunk_fp16.onnx,12660,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12664,Softmax,"inputs=[46, 4, 46, 46] -> outputs=[46, 4, 46, 46]",1946720
trunk_fp16.onnx,12666,MatMul,"inputs=[46, 4, 46, 46], [46, 4, 46, 32] -> outputs=[46, 4, 46, 32]",4584914944
trunk_fp16.onnx,12670,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12680,MatMul,"inputs=[1, 46, 46, 128], [128, 512] -> outputs=[1, 46, 46, 512]",277348352
trunk_fp16.onnx,12683,MatMul,"inputs=[1, 46, 46, 128], [128, 512] -> outputs=[1, 46, 46, 512]",277348352
